"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2025-09-15 ~ 2026-09-14"
"실거래구분 : 오피스텔(전월세)"
"주소구분 : 도로명주소"
"시도 : 서울특별시"
"시군구 : 전체"
"도로명 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)"
"16253","서울특별시 강서구 마곡동","758","0758","0000","마곡시티오피스텔","월세","22.5100","202606","27","14,600","10","2","2016","마곡서로 170","202607~202707","신규","-","",""
"16254","서울특별시 영등포구 영등포동4가","443","0443","0000","영등포 센트럴 푸르지오 시티","전세","29.7500","202606","27","23,500","0","20","2013","문래로 180","202608~202808","갱신","-","23,500","0"
"16255","서울특별시 강서구 방화동","620-214","0620","0214","(620-214)","월세","27.3700","202606","27","1,000","55","2","2011","개화동로 561","202607~202707","신규","-","",""
"16256","서울특별시 용산구 한강로2가","422","0422","0000","래미안 용산 더 센트럴","전세","49.8100","202606","27","52,500","0","17","2017","한강대로 95","202607~202807","갱신","사용","50,000","0"
"16257","서울특별시 성동구 용답동","228-8","0228","0008","더 마크","전세","33.5800","202606","27","27,000","0","4","2020","자동차시장1길 25","202608~202808","신규","-","",""
"16258","서울특별시 용산구 동자동","56","0056","0000","트윈시티 남산","월세","27.4300","202606","27","5,000","105","2","2015","한강대로 366","202607~202807","신규","-","",""
"16259","서울특별시 용산구 동자동","56","0056","0000","트윈시티 남산","월세","29.6100","202606","27","1,000","157","14","2015","한강대로 366","202608~202708","신규","-","",""
"16260","서울특별시 성동구 성수동1가","72-69","0072","0069","성수동 뉴타운오피스텔","월세","32.3900","202606","27","1,000","95","8","2003","뚝섬로3길 17","202608~202807","신규","-","",""
"16261","서울특별시 종로구 내수동","74","0074","0000","광화문시대","월세","32.9700","202606","27","1,000","105","18","2004","사직로8길 42","202608~202808","신규","-","",""
"16262","서울특별시 강남구 역삼동","708-16","0708","0016","능현오피스텔","전세","29.6500","202606","27","21,000","0","4","2004","선릉로89길 16","202607~202807","갱신","사용","20,000","0"
"16263","서울특별시 강남구 역삼동","719-24","0719","0024","역삼역센트럴푸르지오시티","월세","17.5700","202606","27","12,000","50","9","2019","언주로85길 32","202607~202807","신규","-","",""
"16264","서울특별시 강남구 역삼동","703","0703","0000","리에바움 오피스텔","월세","27.0200","202606","27","2,000","155","11","2020","언주로98길 30","202607~202707","신규","-","",""
"16265","서울특별시 용산구 한강로2가","2-11","0002","0011","한강로 대우아이빌","전세","39.7600","202606","27","23,000","0","2","2004","한강대로43길 13","202607~202807","신규","-","",""
"16266","서울특별시 용산구 한강로2가","2-8","0002","0008","한강로벽산메가트리움","월세","30.3500","202606","27","1,000","99","21","2005","한강대로43길 8","202612~202712","갱신","사용","1,000","94"
"16267","서울특별시 용산구 한강로2가","2-8","0002","0008","한강로벽산메가트리움","월세","32.1500","202606","27","25,200","12","8","2005","한강대로43길 8","202609~202809","갱신","사용","28,000","0"
"16268","서울특별시 용산구 한강로2가","2-36","0002","0036","한강현대하이엘","전세","30.0300","202606","27","22,000","0","5","2005","새창로 213-12","202607~202807","신규","-","",""
"16269","서울특별시 용산구 한강로2가","420","0420","0000","용산푸르지오써밋","월세","29.7400","202606","27","2,000","158","24","2017","한강대로 69","202607~202807","갱신","-","2,000","150"
"16270","서울특별시 동대문구 용두동","797","0797","0000","청량리역 해링턴플레이스","전세","29.2000","202606","27","30,000","0","7","2023","고산자로34길 70","202609~202808","신규","-","",""
"16271","서울특별시 동대문구 용두동","112-8","0112","0008","동대문한양아이클래스","월세","18.4800","202606","27","1,000","68","15","2014","왕산로 72","202607~202707","신규","-","",""
"16272","서울특별시 동대문구 용두동","100-5","0100","0005","동대문 베네스트","월세","24.5100","202606","27","19,800","10","14","2020","왕산로 92","202608~202808","갱신","사용","21,500","0"
"16273","서울특별시 동대문구 용두동","144-31","0144","0031","동대문베네스트2","월세","21.9000","202606","27","1,000","90","16","2022","왕산로 77","202608~202708","신규","-","",""
"16274","서울특별시 중구 신당동","120-1","0120","0001","은수빌딩","전세","17.2200","202606","27","16,100","0","10","2020","퇴계로80길 1","202607~202807","신규","-","",""
"16275","서울특별시 중구 황학동","955","0955","0000","소미골드라인","월세","35.6700","202606","27","25,100","5","5","2019","마장로18길 16-1","202607~202807","신규","-","",""
"16276","서울특별시 중구 황학동","955","0955","0000","소미골드라인","월세","35.6700","202606","27","26,400","5","5","2019","마장로18길 16-1","202607~202807","신규","-","",""
"16277","서울특별시 중구 황학동","855","0855","0000","베네스트","전세","34.8900","202606","27","25,000","0","10","2019","난계로11길 18-7","202607~202807","신규","-","",""
"16278","서울특별시 용산구 원효로1가","46-5","0046","0005","용산투웨니퍼스트99","월세","49.5200","202606","27","5,000","300","10","2023","원효로 249","202607~202807","신규","-","",""
"16279","서울특별시 용산구 원효로1가","28-10","0028","0010","하람 휴","월세","29.5600","202606","27","2,500","115","9","2019","원효로 231-3","202607~202707","신규","-","",""
"16280","서울특별시 광진구 중곡동","639-4","0639","0004","정익제이타워1차","월세","16.2200","202606","27","16,500","29","7","2018","천호대로 531-1","202606~202706","갱신","사용","16,500","25"
"16281","서울특별시 광진구 중곡동","341-3","0341","0003","아뜰리에","월세","17.8700","202606","27","12,000","40","3","2018","능동로38길 38","202607~202807","갱신","-","12,000","35"
"16282","서울특별시 중구 황학동","819","0819","0000","황학동 복합시설(DUO302)","월세","22.5200","202606","27","1,000","80","12","2014","난계로 169","202607~202707","신규","-","",""
"16283","서울특별시 중구 황학동","819","0819","0000","황학동 복합시설(DUO302)","월세","22.5200","202606","27","1,000","80","12","2014","난계로 169","202608~202708","신규","-","",""
"16284","서울특별시 중구 황학동","1229","1229","0000","힐스테이트 청계 센트럴","전세","48.6200","202606","27","47,250","0","9","2024","마장로 95","202607~202612","갱신","사용","45,000","0"
"16285","서울특별시 중구 황학동","1173","1173","0000","신당 큐브스테이트","전세","23.9600","202606","27","23,100","0","16","2022","마장로 110","202609~202809","신규","-","",""
"16286","서울특별시 중구 황학동","1229","1229","0000","힐스테이트 청계 센트럴","전세","34.9300","202606","27","36,000","0","17","2024","마장로 95","202608~202808","신규","-","",""
"16287","서울특별시 중구 황학동","1229","1229","0000","힐스테이트 청계 센트럴","전세","48.6200","202606","27","53,000","0","14","2024","마장로 95","202608~202808","신규","-","",""
"16288","서울특별시 용산구 한강로1가","50-1","0050","0001","용산파크자이","월세","37.2600","202606","27","20,000","55","12","2005","한강대로 205","202607~202807","갱신","사용","20,000","55"
"16289","서울특별시 종로구 종로5가","138-4","0138","0004","종로5가역 하이뷰더광장","전세","18.9700","202606","27","24,000","0","9","2022","종로 210","202607~202807","신규","-","",""
"16290","서울특별시 동대문구 신설동","100-26","0100","0026","포레스트힐시티","월세","19.2000","202606","27","13,500","20","6","2018","청계천로 443","202608~202808","갱신","-","5,000","60"
"16291","서울특별시 강남구 대치동","889-56","0889","0056","더 나인 오피스텔","월세","29.9700","202606","27","1,000","84","4","2004","테헤란로64길 14","202606~202706","신규","-","",""
"16292","서울특별시 강남구 대치동","944-21","0944","0021","대치2차 아이파크","전세","22.1800","202606","27","29,000","0","9","2018","영동대로85길 34","202608~202808","갱신","-","28,500","0"
"16293","서울특별시 광진구 구의동","243-13","0243","0013","리버 비스타 구의","월세","19.7900","202606","27","1,000","90","13","2019","아차산로 417","202608~202808","신규","-","",""
"16294","서울특별시 광진구 구의동","246-14","0246","0014","크레신타워3차","월세","25.3500","202606","27","1,000","77","9","2006","아차산로 375","202607~202707","갱신","-","1,000","74"
"16295","서울특별시 광진구 구의동","251-157","0251","0157","아델리아 구의타워","월세","36.4100","202606","27","1,000","84","5","2010","자양로 156","202609~202701","갱신","-","1,000","80"
"16296","서울특별시 중구 흥인동","91","0091","0000","(91)","월세","21.8800","202606","27","1,000","70","4","2013","퇴계로 409","202606~202806","신규","-","",""
"16297","서울특별시 용산구 문배동","8-5","0008","0005","용산 더힐 센트럴파크뷰","전세","29.3100","202606","27","37,000","0","12","2022","청파로 205-6","202608~202609","갱신","사용","37,000","0"
"16298","서울특별시 용산구 문배동","8-5","0008","0005","용산 더힐 센트럴파크뷰","전세","29.3100","202606","27","39,000","0","9","2022","청파로 205-6","202608~202808","신규","-","",""
"16299","서울특별시 종로구 연지동","56","0056","0000","더넥스트 종로","월세","18.6600","202606","27","1,000","94","6","2022","창경궁로16길 11","202608~202708","신규","-","",""
"16300","서울특별시 광진구 군자동","473-1","0473","0001","(473-1)","월세","18.1000","202606","27","10,000","65","17","2019","천호대로 530","202608~202808","신규","-","",""
"16301","서울특별시 성동구 하왕십리동","890-181","0890","0181","동인드림힐스","전세","27.1400","202606","27","27,500","0","13","2017","왕십리로 373","202607~202807","신규","-","",""
"16302","서울특별시 광진구 자양동","861","0861","0000","자양 호반써밋","전세","29.9400","202606","27","40,000","0","16","2021","능동로 69","202607~202807","신규","-","",""
"16303","서울특별시 용산구 원효로3가","277-36","0277","0036","아인하우스","전세","23.0400","202606","27","16,500","0","4","2014","원효로 103-3","202608~202808","갱신","-","16,000","0"
"16304","서울특별시 종로구 숭인동","1425","1425","0000","한라 운종가","전세","21.1400","202606","27","19,900","0","7","2022","종로66길 27","202609~202809","신규","-","",""
"16305","서울특별시 종로구 숭인동","200-16","0200","0016","리마크빌 종로","월세","23.5500","202606","27","1,000","135","15","2026","종로 392","202608~202707","신규","-","",""
"16306","서울특별시 종로구 숭인동","200-16","0200","0016","리마크빌 종로","월세","23.5500","202606","27","1,000","127","16","2026","종로 392","-","-","-","",""
"16307","서울특별시 중구 중림동","355","0355","0000","브라운스톤서울","월세","62.8200","202606","27","2,000","224","39","2006","청파로 464","202608~202708","신규","-","",""
"16308","서울특별시 중구 중림동","355","0355","0000","브라운스톤서울","월세","30.9900","202606","27","1,000","120","4","2006","청파로 464","202608~202808","갱신","-","1,000","100"
"16309","서울특별시 종로구 숭인동","200-16","0200","0016","리마크빌 종로","월세","23.5500","202606","27","1,000","135","14","2026","종로 392","202608~202808","신규","-","",""
"16310","서울특별시 종로구 숭인동","200-16","0200","0016","리마크빌 종로","월세","27.3900","202606","27","1,000","158","14","2026","종로 392","202608~202708","신규","-","",""
"16311","서울특별시 종로구 숭인동","200-16","0200","0016","리마크빌 종로","월세","23.5500","202606","27","1,000","127","14","2026","종로 392","202608~202808","신규","-","",""
"16312","서울특별시 종로구 숭인동","200-16","0200","0016","리마크빌 종로","월세","27.3900","202606","27","1,000","149","9","2026","종로 392","202608~202807","신규","-","",""
"16313","서울특별시 종로구 숭인동","200-16","0200","0016","리마크빌 종로","월세","23.5500","202606","27","1,000","135","16","2026","종로 392","202608~202808","신규","-","",""
"16314","서울특별시 중구 저동2가","7-2","0007","0002","제이매크로 타워","전세","22.4700","202606","27","20,000","0","13","2018","을지로12길 28","202607~202707","신규","-","",""
"16315","서울특별시 중구 중림동","363","0363","0000","쌍용 더 플래티넘 서울역","월세","17.5600","202606","27","1,000","120","5","2023","청파로 454","202607~202707","신규","-","",""
"16316","서울특별시 중구 중림동","363","0363","0000","쌍용 더 플래티넘 서울역","월세","17.5600","202606","27","1,000","120","3","2023","청파로 454","202607~202707","갱신","-","1,000","115"
"16317","서울특별시 강남구 개포동","13-3","0013","0003","대청타워","월세","31.9100","202606","27","1,000","85","14","1997","개포로 623","202608~202708","신규","-","",""
"16318","서울특별시 강남구 개포동","13-3","0013","0003","대청타워","전세","32.4400","202606","27","18,000","0","18","1997","개포로 623","202608~202808","신규","-","",""
"16319","서울특별시 종로구 원남동","95","0095","0000","코윈 팔레스뷰 오피스텔","월세","24.0300","202606","27","1,000","99","11","2003","창경궁로 146","202608~202808","신규","-","",""
"16320","서울특별시 성동구 도선동","116","0116","0000","왕십리역어반홈스B동","월세","36.3400","202606","27","3,000","180","13","2026","왕십리로22길 11-6","202607~202807","신규","-","",""
"16321","서울특별시 성동구 도선동","257","0257","0000","왕십리렉스프리미엄오피스텔","월세","18.6300","202606","27","1,000","105","4","2020","왕십리로 336","202608~202808","신규","-","",""
"16322","서울특별시 성동구 도선동","53","0053","0000","한성아펠타워","월세","23.5800","202606","27","1,000","100","4","2017","왕십리로 322","202608~202708","신규","-","",""
"16323","서울특별시 강남구 자곡동","662","0662","0000","강남 지웰홈스","월세","31.9900","202606","27","2,000","100","5","2014","자곡로 204-5","202608~202708","신규","-","",""
"16324","서울특별시 강남구 자곡동","653","0653","0000","빌리브 파비오 더 까사","전세","48.3800","202606","27","47,000","0","7","2022","자곡로 186","202608~202708","갱신","사용","45,000","0"
"16325","서울특별시 강남구 자곡동","658","0658","0000","강남힐스테이트에코","월세","23.8200","202606","27","1,000","85","8","2014","자곡로 202","202606~202706","신규","-","",""
"16326","서울특별시 강남구 자곡동","600","0600","0000","강남 푸르지오시티 1차","월세","25.0600","202606","27","5,500","51","2","2014","자곡로 191","202608~202708","신규","-","",""
"16327","서울특별시 강남구 자곡동","600","0600","0000","강남 푸르지오시티 1차","월세","25.0600","202606","27","15,750","14","9","2014","자곡로 191","202607~202807","갱신","-","16,425","8"
"16328","서울특별시 강남구 자곡동","672","0672","0000","훼미리타운","전세","74.7700","202606","27","73,000","0","7","2017","밤고개로 231","202607~202807","신규","-","",""
"16329","서울특별시 강남구 자곡동","669","0669","0000","강남블루지움","월세","20.8000","202606","27","1,000","79","6","2017"," ","202607~202707","신규","-","",""
"16330","서울특별시 강남구 자곡동","669","0669","0000","강남블루지움","월세","53.2000","202606","27","40,000","10","7","2017"," ","202608~202808","신규","-","",""
"16331","서울특별시 강남구 자곡동","669","0669","0000","강남블루지움","월세","20.8000","202606","27","1,000","79","6","2017"," ","202607~202707","신규","-","",""
"16332","서울특별시 강남구 자곡동","670","0670","0000","강남센터뷰","월세","21.2500","202606","27","4,000","65","5","2018"," ","202608~202708","신규","-","",""
"16333","서울특별시 강남구 자곡동","670","0670","0000","강남센터뷰","월세","21.2500","202606","27","15,300","14","5","2018"," ","202607~202807","갱신","사용","15,500","10"
"16334","서울특별시 동대문구 장안동","345-7","0345","0007","장안동 썬앤빌 시그니처","전세","29.0600","202606","27","21,600","0","12","2022","장한로22길 13","202606~202806","갱신","사용","22,000","0"
"16335","서울특별시 동대문구 장안동","365-4","0365","0004","서희스타힐스","월세","29.2400","202606","27","1,000","65","5","2013","장한로20길 7","202606~202706","신규","-","",""
"16336","서울특별시 동대문구 장안동","337-9","0337","0009","더시즌","전세","47.5200","202606","27","32,550","0","5","2021","답십리로72길 32","202609~202809","신규","-","",""
"16337","서울특별시 동대문구 장안동","373-1","0373","0001","양우 내안애 애플","월세","18.6400","202606","27","500","55","13","2014","장한로 99","202607~202807","갱신","-","500","53"
"16338","서울특별시 동대문구 장안동","364-1","0364","0001","힐스테이트 장안 라보니타","월세","74.2600","202606","27","3,000","230","13","2025","장한로 88","202609~202809","신규","-","",""
"16339","서울특별시 도봉구 도봉동","62-3","0062","0003","도봉 투웨니퍼스트 1단지","월세","29.6600","202606","27","1,000","85","6","2017","도봉로180길 20","202606~202806","신규","-","",""
"16340","서울특별시 도봉구 도봉동","62-1","0062","0001","도봉 엠블렘","월세","18.9600","202606","27","500","55","13","2018","도봉로180길 38","202607~202707","신규","-","",""
"16341","서울특별시 중랑구 중화동","208-4","0208","0004","중화동 범양프레체","월세","22.2100","202606","27","10,000","15","6","2012","중랑천로14길 58","202607~202807","신규","-","",""
"16342","서울특별시 서대문구 북아현동","1013","1013","0000","이편한세상신촌","월세","27.4200","202606","27","1,000","125","7","2018","신촌로35길 10","202609~202709","신규","-","",""
"16343","서울특별시 은평구 녹번동","176-6","0176","0006","로하스 오피스텔","월세","28.3200","202606","27","4,000","37","8","2006","응암로 347","202606~202706","갱신","사용","4,000","35"
"16344","서울특별시 은평구 녹번동","131-14","0131","0014","(131-14)","월세","26.4600","202606","27","5,000","48","5","2003","진흥로 170","202607~202807","신규","-","",""
"16345","서울특별시 은평구 대조동","15-133","0015","0133","단홈그라치아","월세","14.7200","202606","27","5,000","50","10","2022","진흥로 177","202607~202807","신규","-","",""
"16346","서울특별시 은평구 대조동","186-25","0186","0025","연신내역마에스트로","월세","17.3800","202606","27","500","55","13","2013","통일로 827","202606~202706","신규","-","",""
"16347","서울특별시 강북구 수유동","230-7","0230","0007","효성 인텔리안 오피스텔","월세","34.1300","202606","27","1,000","65","7","2005","도봉로 313","202607~202807","신규","-","",""
"16348","서울특별시 강북구 수유동","95-7","0095","0007","수유동이테크밸리오피스텔","월세","36.7800","202606","27","1,000","70","8","2005","도봉로77길 6","202606~202707","신규","-","",""
"16349","서울특별시 강북구 미아동","160-3","0160","0003","수유역푸르지오시티","월세","22.4300","202606","27","3,000","60","14","2014","도봉로 290","202607~202707","신규","-","",""
"16350","서울특별시 서대문구 충정로2가","192","0192","0000","서대문 디오빌 오피스텔","월세","25.3500","202606","27","1,500","80","12","2009","충정로 59","202607~202707","신규","-","",""
"16351","서울특별시 마포구 신공덕동","15-80","0015","0080","공덕프로포즈Ⅱ","월세","18.5300","202606","27","14,000","5","4","2015","만리재로 35","202607~202807","신규","-","",""
"16352","서울특별시 마포구 공덕동","12-98","0012","0098","공덕오피스타","월세","19.4100","202606","27","13,300","3","4","2013","만리재로 104","202608~202808","갱신","-","13,300","0"
"16353","서울특별시 은평구 응암동","85-14","0085","0014","한성벨라트리","전세","35.8900","202606","27","21,000","0","3","2020","은평로13길 7-9","202607~202807","갱신","-","20,600","0"
"16354","서울특별시 마포구 공덕동","16-10","0016","0010","에스테반 오피스텔","월세","18.9200","202606","27","1,000","70","7","2017","만리재로 95","202607~202707","신규","-","",""
"16355","서울특별시 마포구 공덕동","108-65","0108","0065","블레스하임-ll","전세","33.7000","202606","27","36,000","0","7","2020","만리재로 94","202610~202810","신규","-","",""
"16356","서울특별시 마포구 공덕동","463","0463","0000","마포현대하이엘","전세","53.0600","202606","27","31,200","0","3","2005","마포대로 173","202608~202808","신규","-","",""
"16357","서울특별시 중랑구 면목동","538","0538","0000","중랑 지웰 에스테이트","월세","19.6000","202606","27","1,000","50","3","2013","면목로69길 16","202608~202807","신규","-","",""
"16358","서울특별시 중랑구 면목동","633-9","0633","0009","리더스빌딩","월세","25.8800","202606","27","1,000","56","8","2007","면목로 301","202607~202807","신규","-","",""
"16359","서울특별시 서대문구 연희동","80-7","0080","0007","파라다이스텔에스비","월세","19.2400","202606","27","1,000","65","10","2003","연희로 158","202607~202707","신규","-","",""
"16360","서울특별시 마포구 아현동","737","0737","0000","마포 에스케이 허브 블루","월세","35.0900","202606","27","20,000","15","5","2006","마포대로 204","202607~202807","신규","-","",""
"16361","서울특별시 마포구 아현동","737","0737","0000","마포 에스케이 허브 블루","월세","35.0900","202606","27","20,000","15","5","2006","마포대로 204","202607~202807","신규","-","",""
"16362","서울특별시 도봉구 방학동","711-1","0711","0001","방학신화 하니엘시티","월세","15.6700","202606","27","1,000","65","5","2021","노해로63가길 229","202607~202707","신규","-","",""
"16363","서울특별시 서대문구 홍은동","400-3","0400","0003","디에이원파크","월세","32.7000","202606","27","2,000","100","10","2019","가좌로 111","202607~202807","신규","-","",""
"16364","서울특별시 동대문구 이문동","325-20","0325","0020","민족통일 대통령 리빙텔","월세","22.1400","202606","27","1,000","55","9","2004","이문로 86","202607~202707","갱신","-","1,000","55"
"16365","서울특별시 동대문구 이문동","288-87","0288","0087","성원빌딩","월세","21.3600","202606","27","3,000","85","3","2019","이문로30길 20","202607~202807","신규","-","",""
"16366","서울특별시 서대문구 대현동","37-32","0037","0032","영타운 지웰 에스테이트","월세","19.3100","202606","27","16,200","20","4","2017","이화여대5길 35","202609~202809","갱신","사용","18,500","10"
"16367","서울특별시 서대문구 대현동","37-69","0037","0069","그린우드","월세","18.3300","202606","27","1,000","120","8","2025","이화여대5길 28","202608~202808","신규","-","",""
"16368","서울특별시 서대문구 대현동","90-66","0090","0066","MJ더퍼스트이대","월세","26.6000","202606","27","1,000","99","11","2018","이화여대1길 25","202608~202708","신규","-","",""
"16369","서울특별시 동대문구 답십리동","530-17","0530","0017","한성아펠시티","월세","22.1400","202606","27","2,000","92","13","2019","황물로 168","202609~202709","신규","-","",""
"16370","서울특별시 동대문구 답십리동","530-17","0530","0017","한성아펠시티","월세","29.9300","202606","27","3,000","100","3","2019","황물로 168","202607~202807","신규","-","",""
"16371","서울특별시 동대문구 답십리동","487-2","0487","0002","knktower","월세","12.9900","202606","27","1,000","85","7","2024","전농로 33","202608~202808","신규","-","",""
"16372","서울특별시 동대문구 답십리동","498-7","0498","0007","청계G well estates","월세","26.4600","202606","27","2,000","69","5","2012","사가정로 6","202606~202806","신규","-","",""
"16373","서울특별시 동대문구 답십리동","494-1","0494","0001","한일노벨리아","월세","19.0500","202606","27","1,000","70","11","2016","천호대로 289","202608~202808","신규","-","",""
"16374","서울특별시 동대문구 답십리동","497-23","0497","0023","청계 푸르지오시티","월세","23.8500","202606","27","1,000","68","11","2015","천호대로 257","-","-","-","",""
"16375","서울특별시 동대문구 답십리동","493-1","0493","0001","답십리역 지웰에스테이트","월세","59.9200","202606","27","30,000","65","17","2024","천호대로 301","202608~202808","신규","-","",""
"16376","서울특별시 동대문구 답십리동","999","0999","0000","청계벽산메가트리움","월세","28.2500","202606","27","1,000","60","11","2006","천호대로 241","202607~202707","신규","-","",""
"16377","서울특별시 동대문구 답십리동","497-23","0497","0023","청계 푸르지오시티","월세","20.6200","202606","27","4,000","45","8","2015","천호대로 257","202607~202707","신규","-","",""
"16378","서울특별시 동대문구 답십리동","498-5","0498","0005","메트로팰리스","월세","40.4400","202606","27","1,000","95","14","2005","천호대로 247","202606~202706","신규","-","",""
"16379","서울특별시 동대문구 전농동","620-6","0620","0006","청량리역 렉스프라임","월세","18.4400","202606","27","1,000","105","8","2023","왕산로 190","202608~202708","신규","-","",""
"16380","서울특별시 동대문구 전농동","620-15","0620","0015","청량리역 우남SL타워300","월세","39.1000","202606","27","5,000","190","8","2023","왕산로 186","202608~202708","신규","-","",""
"16381","서울특별시 동대문구 전농동","620-60","0620","0060","힐스테이트 청량리 더퍼스트","전세","84.9800","202606","27","75,000","0","37","2023","답십리로1길 10","202608~202808","신규","-","",""
"16382","서울특별시 중랑구 망우동","508-35","0508","0035","YMS HILL","전세","18.0600","202606","27","20,000","0","12","2023","상봉로28길 21","202610~202810","갱신","-","19,700","0"
"16383","서울특별시 중랑구 망우동","584","0584","0000","신내역 프라디움 더 테라스","전세","84.3200","202606","27","54,000","0","24","2023","용마산로 670","202608~202808","신규","-","",""
"16384","서울특별시 마포구 신공덕동","3-3","0003","0003","블루마리오피스텔","월세","18.3300","202606","27","1,000","78","18","2017","만리재로 63","202607~202707","신규","-","",""
"16385","서울특별시 동대문구 전농동","295-501","0295","0501","범양레우스 씨엘로네","월세","45.2600","202606","27","5,000","190","10","2024","사가정로5길 22","202608~202708","신규","-","",""
"16386","서울특별시 동대문구 휘경동","377","0377","0000","이문휘경 지웰에스테이트","전세","17.4500","202606","27","17,000","0","18","2021","외대역동로 63-12","202607~202902","신규","-","",""
"16387","서울특별시 성북구 동선동1가","85-66","0085","0066","동선아르텔","전세","21.4600","202606","27","11,500","0","6","2002","동소문로24길 32","202607~202707","갱신","-","11,000","0"
"16388","서울특별시 성북구 하월곡동","28-21","0028","0021","월곡오피스텔","월세","26.9600","202606","27","3,000","125","5","2022","화랑로11길 17-11","202607~202807","신규","-","",""
"16389","서울특별시 노원구 중계동","506","0506","0000","(506)","전세","93.3700","202606","27","60,000","0","5","2005","동일로203가길 29","202607~202807","신규","-","",""
"16390","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","월세","24.9100","202606","27","3,000","54","3","2013","통일로 1010","202607~202707","갱신","-","3,000","51"
"16391","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","월세","24.9100","202606","27","3,000","54","3","2013","통일로 1010","202607~202707","갱신","-","3,000","51"
"16392","서울특별시 동대문구 청량리동","235-6","0235","0006","힐스테이트 청량리역","월세","21.2000","202606","27","19,000","25","7","2023","왕산로 239","202607~202807","신규","-","",""
"16393","서울특별시 동대문구 청량리동","235-6","0235","0006","힐스테이트 청량리역","전세","44.7800","202606","27","40,215","0","19","2023","왕산로 239","202607~202807","갱신","-","38,300","0"
"16394","서울특별시 동대문구 청량리동","235-6","0235","0006","힐스테이트 청량리역","월세","41.9200","202606","27","5,000","165","9","2023","왕산로 239","202608~202708","신규","-","",""
"16395","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","월세","24.9100","202606","27","1,000","67","13","2013","통일로 1010","202609~202709","갱신","-","1,000","63"
"16396","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","월세","24.9100","202606","27","500","63","4","2013","통일로 1010","202606~202706","갱신","사용","500","61"
"16397","서울특별시 은평구 진관동","100-2","0100","0002","은평뉴타운 신한 헤센스마트","월세","20.0400","202606","27","2,000","53","12","2017","통일로 1020","202607~202707","갱신","사용","2,000","50"
"16398","서울특별시 은평구 진관동","100-3","0100","0003","아이파크 포레스트 게이트","월세","24.9100","202606","27","1,000","68","15","2013","통일로 1010","202606~202706","신규","-","",""
"16399","서울특별시 마포구 신공덕동","3-3","0003","0003","블루마리오피스텔","월세","18.3300","202606","27","1,000","78","7","2017","만리재로 63","202607~202707","신규","-","",""
"16400","서울특별시 중랑구 상봉동","128-33","0128","0033","예지다움","월세","29.8400","202606","27","2,000","80","6","2018","망우로 238","202607~202807","신규","-","",""
"16401","서울특별시 중랑구 상봉동","89-27","0089","0027","브르넨상봉","월세","20.2400","202606","27","5,000","70","7","2022","망우로52길 20","202607~202807","신규","-","",""
"16402","서울특별시 중랑구 상봉동","102-30","0102","0030","YMS TOWER A","전세","24.2300","202606","27","20,000","0","6","2018","면목로92길 27","202608~202808","갱신","-","19,500","0"
"16403","서울특별시 중랑구 상봉동","102-14","0102","0014","동인씨엘로","전세","17.8100","202606","27","15,800","0","3","2018","면목로92라길 12","202608~202808","갱신","-","15,200","0"
"16404","서울특별시 동대문구 장안동","416-2","0416","0002","슈프림오피스텔","월세","24.5300","202606","27","1,500","64","11","2012","한천로2길 94","202607~202707","신규","-","",""
"16405","서울특별시 동대문구 장안동","373-4","0373","0004","센트럴장안오피스텔","월세","24.2300","202606","27","1,000","100","9","2022","한천로24길 77","202607~202707","갱신","사용","1,000","95"
"16406","서울특별시 동대문구 장안동","464-3","0464","0003","양지빌딩","월세","25.2000","202606","27","1,000","60","3","1985","장한로2길 14","202607~202707","신규","-","",""
"16407","서울특별시 동대문구 장안동","345-7","0345","0007","장안동 썬앤빌 시그니처","월세","29.0600","202606","27","10,000","75","14","2022","장한로22길 13","202607~202707","신규","-","",""
"16408","서울특별시 동대문구 장안동","345-7","0345","0007","장안동 썬앤빌 시그니처","월세","29.0600","202606","27","23,000","4","7","2022","장한로22길 13","202608~202808","갱신","-","23,000","0"
