사업장명,소재지도로명주소,소재지지번주소,위도,경도,폐기물분류명,폐기물세부종류명,처리방법내용,전화번호,배출량,신고기준연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
(주)정선라임,강원특별자치도 정선군 사북읍 직전로 650,강원특별자치도 정선군 사북읍 직전리 220-4,37.2687393179,128.8272740839,사업장폐기물,,,,36,2025,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
(주)신우엠티에스,강원특별자치도 정선군 임계면 송이재길 815,강원특별자치도 정선군 임계면 덕암리 354,37.3515315572,128.8489277863,사업장폐기물,,,,50,2025,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
한국광해광업공단 강원지사,강원특별자치도 태백시 황지로 68 (황지동_ 광해방지사업단 강원지사),강원특별자치도 태백시 황지동 79-4,37.1647929147,128.9920361006,사업장폐기물,,,,170,2025,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선국토관리사무소,강원특별자치도 정선군 정선읍 와평1길 6,강원특별자치도 정선군 정선읍 신월리 981,37.3692448631,128.6839465716,사업장폐기물,,,,50,2026,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
호텔아이파크(주)파크로쉬 정선 에프앤비,강원특별자치도 정선군 북평면 중봉길 9-12_ 파크로쉬,강원특별자치도 정선군 북평면 숙암리 482 파크로쉬,37.4747821442,128.6111547727,사업장폐기물,,,,300,2026,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
(주)강원랜드,강원특별자치도 정선군 사북읍 하이원길 265,,37.2118740499,128.8214537296,지정폐기물,,,,13.3,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
(주)강원랜드,강원특별자치도 정선군 사북읍 하이원길 265,,37.2118740499,128.8214537296,지정폐기물,,,,1,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
(주)강원랜드,강원특별자치도 정선군 사북읍 하이원길 265,,37.2118740499,128.8214537296,지정폐기물,,,,8,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
(주)강원랜드,강원특별자치도 정선군 사북읍 하이원길 265,,37.2118740499,128.8214537296,지정폐기물,,,,10,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
(주)강원랜드,강원특별자치도 정선군 사북읍 하이원길 265,,37.2118740499,128.8214537296,지정폐기물,,,,6,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
(주)강원랜드,강원특별자치도 정선군 사북읍 하이원길 265,,37.2118740499,128.8214537296,지정폐기물,,,,12,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
연세의원,강원특별자치도 정선군 임계면 송계5길 2,강원특별자치도 정선군 임계면 송계리 765-3,37.495473143,128.8500910055,지정폐기물,,,,0.6,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
연세의원,강원특별자치도 정선군 임계면 송계5길 2,강원특별자치도 정선군 임계면 송계리 765-3,37.495473143,128.8500910055,지정폐기물,,,,0.06,2004,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청,강원특별자치도 정선군 남면 광락로 691-233,강원특별자치도 정선군 남면 광덕리 365,37.3072722933,128.6787898746,지정폐기물,,,,72,2005,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
안성한의원,,강원특별자치도 정선군 여량면 여량리 99-5,37.472012521,128.7255819951,지정폐기물,,,,0.06,2006,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
안성한의원,,강원특별자치도 정선군 여량면 여량리 99-5,37.472012521,128.7255819951,지정폐기물,,,,0.12,2006,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도자동차전문정비사업조합정선지회,강원특별자치도 정선군 정선읍 어천길 2,강원특별자치도 정선군 정선읍 애산리 741-7,37.3719133621,128.6703948828,지정폐기물,,,,2,2007,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도자동차전문정비사업조합정선지회,강원특별자치도 정선군 정선읍 어천길 2,강원특별자치도 정선군 정선읍 애산리 741-7,37.3719133621,128.6703948828,지정폐기물,,,,168,2007,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도자동차전문정비사업조합정선지회,강원특별자치도 정선군 정선읍 어천길 2,강원특별자치도 정선군 정선읍 애산리 741-7,37.3719133621,128.6703948828,지정폐기물,,,,15.3,2007,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도자동차전문정비사업조합정선지회,강원특별자치도 정선군 정선읍 어천길 2,강원특별자치도 정선군 정선읍 애산리 741-7,37.3719133621,128.6703948828,지정폐기물,,,,37.2,2007,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도자동차전문정비사업조합정선지회,강원특별자치도 정선군 정선읍 어천길 2,강원특별자치도 정선군 정선읍 애산리 741-7,37.3719133621,128.6703948828,지정폐기물,,,,3.6,2007,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도자동차전문정비사업조합정선지회,강원특별자치도 정선군 정선읍 어천길 2,강원특별자치도 정선군 정선읍 애산리 741-7,37.3719133621,128.6703948828,지정폐기물,,,,9.6,2007,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
조동보건진료소,,강원특별자치도 정선군 신동읍 조동리 216-1,37.2178269424,128.6713910019,지정폐기물,,,,0.06,2008,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
조동보건진료소,,강원특별자치도 정선군 신동읍 조동리 216-1,37.2178269424,128.6713910019,지정폐기물,,,,0.12,2008,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
광하보건진료소,,강원특별자치도 정선군 정선읍 광하리 636-1,37.3553965917,128.6025694233,지정폐기물,,,,0.12,2008,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
광하보건진료소,,강원특별자치도 정선군 정선읍 광하리 636-1,37.3553965917,128.6025694233,지정폐기물,,,,0.06,2008,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
구절보건진료소,강원특별자치도 정선군 여량면 구절양지말길 28,강원특별자치도 정선군 여량면 구절리 301-1,37.5190682772,128.7347831071,지정폐기물,,,,0.06,2008,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
구절보건진료소,강원특별자치도 정선군 여량면 구절양지말길 28,강원특별자치도 정선군 여량면 구절리 301-1,37.5190682772,128.7347831071,지정폐기물,,,,0.12,2008,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
씨아이티건설주식회사,강원특별자치도 정선군 고한읍 물한리길 8,강원특별자치도 정선군 고한읍 고한리 142,37.2114675123,128.8353139044,지정폐기물,,,,8,2008,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군노인요양원,강원특별자치도 정선군 정선읍 와평2길 1-77,강원특별자치도 정선군 정선읍 신월리 869-1,37.3715803998,128.6806675942,지정폐기물,,,,0.18,2009,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군노인요양원,강원특별자치도 정선군 정선읍 와평2길 1-77,강원특별자치도 정선군 정선읍 신월리 869-1,37.3715803998,128.6806675942,지정폐기물,,,,0.024,2009,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
대림산업(주)정선리조트,강원특별자치도 정선군 고한읍 물한리길 8,강원특별자치도 정선군 고한읍 고한리 142,37.2114675123,128.8353139044,지정폐기물,,,,5,2009,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
현대가축병원,강원특별자치도 정선군 정선읍 정선로 1330,강원특별자치도 정선군 정선읍 봉양리 209-10,37.3792922031,128.6617056466,지정폐기물,,,,0.06,2010,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
현대가축병원,강원특별자치도 정선군 정선읍 정선로 1330,강원특별자치도 정선군 정선읍 봉양리 209-10,37.3792922031,128.6617056466,지정폐기물,,,,0.12,2010,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
벧엘동산,강원특별자치도 정선군 임계면 월루길 446,강원특별자치도 정선군 임계면 반천리 23-8,37.4886607127,128.7969612312,지정폐기물,,,,0.12,2011,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
벧엘동산,강원특별자치도 정선군 임계면 월루길 446,강원특별자치도 정선군 임계면 반천리 23-8,37.4886607127,128.7969612312,지정폐기물,,,,0.06,2011,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
우리의원,강원특별자치도 정선군 신동읍 의림로 297,강원특별자치도 정선군 신동읍 예미리 668-6,37.2181975634,128.643652189,지정폐기물,,,,0.18,2011,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
우리의원,강원특별자치도 정선군 신동읍 의림로 297,강원특별자치도 정선군 신동읍 예미리 668-6,37.2181975634,128.643652189,지정폐기물,,,,0.06,2011,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
유명치과,강원특별자치도 정선군 정선읍 정선로 1365,,37.3801356115,128.6657289343,지정폐기물,,,,0.012,2011,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
유명치과,강원특별자치도 정선군 정선읍 정선로 1365,,37.3801356115,128.6657289343,지정폐기물,,,,0.048,2011,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
유명치과,강원특별자치도 정선군 정선읍 정선로 1365,,37.3801356115,128.6657289343,지정폐기물,,,,0.48,2011,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
다나동물병원,강원특별자치도 정선군 정선읍 비봉로 46,,37.3811027123,128.6631592043,지정폐기물,,,,0.024,2012,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
다나동물병원,강원특별자치도 정선군 정선읍 비봉로 46,,37.3811027123,128.6631592043,지정폐기물,,,,0.12,2012,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
대성한의원,,강원특별자치도 정선군 정선읍 봉양리 334-4,37.3792699862,128.6638427191,지정폐기물,,,,0.18,2012,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
대성한의원,,강원특별자치도 정선군 정선읍 봉양리 334-4,37.3792699862,128.6638427191,지정폐기물,,,,0.06,2012,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선효도마을,강원특별자치도 정선군 임계면 평양마을길 204,강원특별자치도 정선군 임계면 임계리 1117,37.5402199289,128.8712364749,지정폐기물,,,,0.01,2012,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선효도마을,강원특별자치도 정선군 임계면 평양마을길 204,강원특별자치도 정선군 임계면 임계리 1117,37.5402199289,128.8712364749,지정폐기물,,,,0.03,2012,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
한내과.소아과,강원특별자치도 정선군 정선읍 정선로 1350,강원특별자치도 정선군 정선읍 봉양리 339-9,37.3796136941,128.6639767579,지정폐기물,,,,0.24,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
한내과.소아과,강원특별자치도 정선군 정선읍 정선로 1350,강원특별자치도 정선군 정선읍 봉양리 339-9,37.3796136941,128.6639767579,지정폐기물,,,,0.12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
연세의원,강원특별자치도 정선군 임계면 송계5길 2,강원특별자치도 정선군 임계면 송계리 765-3,37.495473143,128.8500910055,지정폐기물,,,,0.12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
연세의원,강원특별자치도 정선군 임계면 송계5길 2,강원특별자치도 정선군 임계면 송계리 765-3,37.495473143,128.8500910055,지정폐기물,,,,0.24,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선한의원,강원특별자치도 정선군 정선읍 봉양5길 22,강원특별자치도 정선군 정선읍 봉양리 335-3,37.379171694,128.6630423772,지정폐기물,,,,0.06,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선한의원,강원특별자치도 정선군 정선읍 봉양5길 22,강원특별자치도 정선군 정선읍 봉양리 335-3,37.379171694,128.6630423772,지정폐기물,,,,0.42,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
연세외과의원,강원특별자치도 정선군 정선읍 봉양6길 14,강원특별자치도 정선군 정선읍 봉양리 333-25,37.3788863116,128.6639686985,지정폐기물,,,,0.36,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
연세외과의원,강원특별자치도 정선군 정선읍 봉양6길 14,강원특별자치도 정선군 정선읍 봉양리 333-25,37.3788863116,128.6639686985,지정폐기물,,,,0.06,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
연세외과의원,강원특별자치도 정선군 정선읍 봉양6길 14,강원특별자치도 정선군 정선읍 봉양리 333-25,37.3788863116,128.6639686985,지정폐기물,,,,0.12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
의료법인벧엘의료재단우리들의원,강원특별자치도 정선군 정선읍 비봉로 53,강원특별자치도 정선군 정선읍 봉양리 390-11,37.3813342609,128.6642275979,지정폐기물,,,,0.24,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
의료법인벧엘의료재단우리들의원,강원특별자치도 정선군 정선읍 비봉로 53,강원특별자치도 정선군 정선읍 봉양리 390-11,37.3813342609,128.6642275979,지정폐기물,,,,0.12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
임계한의원,강원특별자치도 정선군 임계면 백두대간로 1362,강원특별자치도 정선군 임계면 송계리 763-3,37.4949758693,128.8500268368,지정폐기물,,,,0.06,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
임계한의원,강원특별자치도 정선군 임계면 백두대간로 1362,강원특별자치도 정선군 임계면 송계리 763-3,37.4949758693,128.8500268368,지정폐기물,,,,0.18,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
사북제일의원,강원특별자치도 정선군 사북읍 사북5길 1,강원특별자치도 정선군 사북읍 사북리 372-4,37.2273377846,128.8198910162,지정폐기물,,,,0.12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
사북제일의원,강원특별자치도 정선군 사북읍 사북5길 1,강원특별자치도 정선군 사북읍 사북리 372-4,37.2273377846,128.8198910162,지정폐기물,,,,0.6,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
근로복지공단정선산재병원,강원특별자치도 정선군 정선읍 봉양1길 145,강원특별자치도 정선군 정선읍 봉양리 430,37.3832457391,128.6603132216,지정폐기물,,,,12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
김안과의원,강원특별자치도 정선군 정선읍 정선로 1348,강원특별자치도 정선군 정선읍 봉양리 339-7,37.3794987698,128.6637439106,지정폐기물,,,,0.06,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
김안과의원,강원특별자치도 정선군 정선읍 정선로 1348,강원특별자치도 정선군 정선읍 봉양리 339-7,37.3794987698,128.6637439106,지정폐기물,,,,0.12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
에콜리안 정선골프장,강원특별자치도 정선군 신동읍 새골길 112-49,강원특별자치도 정선군 신동읍 조동리 516,37.2221370102,128.679462147,지정폐기물,,,,12,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선장례식장,강원특별자치도 정선군 정선읍 서동로 1277,강원특별자치도 정선군 정선읍 덕송리 363-4,37.4018193779,128.6686468356,지정폐기물,,,,1.2,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
서울가정의학과의원,강원특별자치도 정선군 정선읍 봉양7길 34,강원특별자치도 정선군 정선읍 봉양리 354-1,37.37961252,128.6654806189,지정폐기물,,,,0.06,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
서울가정의학과의원,강원특별자치도 정선군 정선읍 봉양7길 34,강원특별자치도 정선군 정선읍 봉양리 354-1,37.37961252,128.6654806189,지정폐기물,,,,0.18,2013,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선실버하우스요양원,강원특별자치도 정선군 북평면 송석길 287-30,강원특별자치도 정선군 북평면 남평리 563-13,37.4404700235,128.6654388519,지정폐기물,,,,0.024,2014,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선실버하우스요양원,강원특별자치도 정선군 북평면 송석길 287-30,강원특별자치도 정선군 북평면 남평리 563-13,37.4404700235,128.6654388519,지정폐기물,,,,0.156,2014,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
현대밧데리,강원특별자치도 정선군 신동읍 동강로 112-37,강원특별자치도 정선군 신동읍 예미리 396,37.2280739726,128.6340812109,지정폐기물,,,,1.2,2014,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선폐차장,강원특별자치도 정선군 정선읍 망하길 73-19,강원특별자치도 정선군 정선읍 광하리 589-4,37.3584308465,128.6019577777,지정폐기물,,,,20,2014,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
종합자원자동차해체재활용산업,강원특별자치도 정선군 고한읍 강원남로 6558,,37.1995932167,128.8746330748,지정폐기물,,,,24,2014,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
두산건설 주식회사,,강원특별자치도 정선군 정선읍 덕송리 산 173,37.392398277,128.6654600255,지정폐기물,,,,0.1,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
두산건설 주식회사,,강원특별자치도 정선군 정선읍 덕송리 산 173,37.392398277,128.6654600255,지정폐기물,,,,7.5,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
한국전력공사 강원지역본부,,강원특별자치도 정선군 고한읍 고한리 158-5 한전 고한변전소,37.2190988,128.8399515673,지정폐기물,,,,11,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
한국전력공사 강원지역본부,,강원특별자치도 정선군 고한읍 고한리 158-5 한전 고한변전소,37.2190988,128.8399515673,지정폐기물,,,,32,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도정선교육지원청,강원특별자치도 정선군 정선읍 비봉로 41 (정선교육청),,37.3817970635,128.6629727921,지정폐기물,,,,0.02,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도정선교육지원청,강원특별자치도 정선군 정선읍 비봉로 41 (정선교육청),,37.3817970635,128.6629727921,지정폐기물,,,,0.37,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도정선교육지원청,강원특별자치도 정선군 정선읍 비봉로 41 (정선교육청),,37.3817970635,128.6629727921,지정폐기물,,,,0.01,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원머티리얼 주식회사(석회석),,강원특별자치도 정선군 임계면 덕암리 375-1번지,37.3523820506,128.8477016711,지정폐기물,,,,1.2,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원머티리얼 주식회사(석회석),,강원특별자치도 정선군 임계면 덕암리 375-1번지,37.3523820506,128.8477016711,지정폐기물,,,,0.6,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원머티리얼 주식회사(석회석),,강원특별자치도 정선군 임계면 덕암리 375-1번지,37.3523820506,128.8477016711,지정폐기물,,,,0.12,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원머티리얼 주식회사(석회석),,강원특별자치도 정선군 임계면 덕암리 375-1번지,37.3523820506,128.8477016711,지정폐기물,,,,2.4,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
사북읍사무소,강원특별자치도 정선군 사북읍 사북중앙로 65,강원특별자치도 정선군 사북읍 사북리 317-26,37.2277077637,128.8218027319,지정폐기물,,,,0,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도정선교육지원청,강원특별자치도 정선군 정선읍 비봉로 41_ 정선교육청,강원특별자치도 정선군 정선읍 봉양리 400-1 정선교육청,37.3817970635,128.6629727921,지정폐기물,,,,1,2015,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
하나의원,강원특별자치도 정선군 고한읍 고토일길 268-11,강원특별자치도 정선군 고한읍 고한리 192,37.2206378738,128.8628123603,지정폐기물,,,,0.42,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
하나의원,강원특별자치도 정선군 고한읍 고토일길 268-11,강원특별자치도 정선군 고한읍 고한리 192,37.2206378738,128.8628123603,지정폐기물,,,,0.06,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선의료재단 군립병원,강원특별자치도 정선군 사북읍 지장천로 727,,37.2254435031,128.826297575,지정폐기물,,,,0.24,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선의료재단 군립병원,강원특별자치도 정선군 사북읍 지장천로 727,,37.2254435031,128.826297575,지정폐기물,,,,0.6,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선의료재단 군립병원,강원특별자치도 정선군 사북읍 지장천로 727,,37.2254435031,128.826297575,지정폐기물,,,,3.6,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선의료재단 군립병원,강원특별자치도 정선군 사북읍 지장천로 727,,37.2254435031,128.826297575,지정폐기물,,,,1.2,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선의료재단 군립병원,강원특별자치도 정선군 사북읍 지장천로 727,,37.2254435031,128.826297575,지정폐기물,,,,0.12,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선의료재단 군립병원,강원특별자치도 정선군 사북읍 지장천로 727,,37.2254435031,128.826297575,지정폐기물,,,,8.4,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선의료재단 군립병원,강원특별자치도 정선군 사북읍 지장천로 727,,37.2254435031,128.826297575,지정폐기물,,,,0.36,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
조은의원,강원특별자치도 정선군 신동읍 의림로 297,,37.2181975634,128.643652189,지정폐기물,,,,0.06,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
조은의원,강원특별자치도 정선군 신동읍 의림로 297,,37.2181975634,128.643652189,지정폐기물,,,,0.18,2016,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
탄광촌 노인요양원,강원특별자치도 정선군 고한읍 고한9길 26 (한일병원),,37.1968629884,128.8599015642,지정폐기물,,,,0.18,2017,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
다나동물병원,강원특별자치도 정선군 정선읍 비봉로 46,,37.3811027123,128.6631592043,지정폐기물,,,,0.06,2012,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
탄광촌 노인요양원,강원특별자치도 정선군 고한읍 고한9길 26 (한일병원),,37.1968629884,128.8599015642,지정폐기물,,,,0.06,2017,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도정선교육지원청,강원특별자치도 정선군 정선읍 비봉로 41 (정선교육청),,37.3817970635,128.6629727921,지정폐기물,,,,1,2017,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
2018평창동계올림픽대회및장애인동계올림픽조직위원회,강원특별자치도 평창군 대관령면 올림픽로 108-27,,37.6706525654,128.7030359438,지정폐기물,,,,0.12,2018,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
2018평창동계올림픽대회및장애인동계올림픽조직위원회,강원특별자치도 평창군 대관령면 올림픽로 108-27,,37.6706525654,128.7030359438,지정폐기물,,,,0.36,2018,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청(환경과),강원특별자치도 정선군 정선읍 봉양3길 21 (정선군청),,37.3806405115,128.6608218373,지정폐기물,,,,72,2018,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청(안전건설과),강원특별자치도 정선군 정선읍 봉양3길 21 (정선군청),,37.3806405115,128.6608218373,지정폐기물,,,,0.01,2018,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청(안전건설과),강원특별자치도 정선군 정선읍 봉양3길 21 (정선군청),,37.3806405115,128.6608218373,지정폐기물,,,,1.88,2018,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청(도시건축과),강원특별자치도 정선군 정선읍 봉양3길 21_ 정선군청,강원특별자치도 정선군 정선읍 봉양리 267-2 정선군청,37.3811119934,128.6624480376,지정폐기물,,,,0.01,2018,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청(도시건축과),강원특별자치도 정선군 정선읍 봉양3길 21_ 정선군청,강원특별자치도 정선군 정선읍 봉양리 267-2 정선군청,37.3811119934,128.6624480376,지정폐기물,,,,9.19,2018,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청유통축산과,강원특별자치도 정선군 정선읍 봉양3길 21_ 정선군청,강원특별자치도 정선군 정선읍 봉양리 267 정선군청,37.3806405115,128.6608218373,지정폐기물,,,,1.2,2020,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
정선군청유통축산과,강원특별자치도 정선군 정선읍 봉양3길 21_ 정선군청,강원특별자치도 정선군 정선읍 봉양리 267 정선군청,37.3806405115,128.6608218373,지정폐기물,,,,3.6,2020,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도정선교육지원청,강원특별자치도 정선군 정선읍 비봉로 41,강원특별자치도 정선군 정선읍 봉양리 400-1,37.3817970635,128.6629727921,지정폐기물,,,,0.5,2020,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
강원도정선교육지원청,강원특별자치도 정선군 정선읍 비봉로 41,강원특별자치도 정선군 정선읍 봉양리 400-1,37.3817970635,128.6629727921,지정폐기물,,,,0.3,2020,강원특별자치도 정선군,033-560-2336,2026-06-26,4291000,강원특별자치도 정선군
